c1   c2   cvar
32   2   1842.34266667
32   3   1853.75733333
32   5   1822.094
32   6   1827.07866667
32   7   1836.018
32   8   1810.43466667
32   10   1772.43933333
32   11   1794.04133333
32   12   1793.074
32   14   1838.27133333
32   15   1826.37666667
32   16   1817.64866667
32   17   1843.63666667
32   19   1849.402
32   20   1856.428
32   21   1870.094
32   23   1852.53466667
32   24   1852.53466667
32   25   1852.53466667
32   26   1852.53466667
32   28   1852.53466667
32   29   1852.53466667
32   30   1852.53466667
32   32   1852.53466667
      
39   0   1909.62466667
39   1   1879.832
39   2   1877.14666667
39   3   1859.80466667
39   5   1909.61
39   6   1890.05933333
39   7   1892.098
39   8   1828.68266667
39   10   1820.80333333
39   11   1810.61333333
39   12   1819.99866667
39   14   1873.882
39   15   1850.50533333
39   16   1837.33066667
39   17   1836.65466667
39   19   1830.35666667
39   20   1848.57266667
39   21   1860.492
39   23   1841.23666667
39   24   1841.23666667
39   25   1841.23666667
39   26   1841.23666667
39   28   1841.23666667
39   29   1841.23666667
39   30   1841.23666667
39   32   1841.23666667
      
45   0   1827.45866667
45   1   1821.304
45   2   1869.25466667
45   3   1821.23466667
45   5   1803.39533333
45   6   1828.27866667
45   7   1832.204
45   8   1856.14866667
45   10   1869.69533333
45   11   1901.97933333
45   12   1889.16666667
45   14   1847.302
45   15   1843.344
45   16   1826.774
45   17   1831.926
45   19   1871.09066667
45   20   1868.97466667
45   21   1880.31133333
45   23   1817.832
45   24   1817.832
45   25   1817.832
45   26   1817.832
45   28   1817.832
45   29   1817.832
45   30   1817.832
45   32   1817.832
      
52   0   1757.57733333
52   1   1782.14333333
52   2   1758.78266667
52   3   1796.44266667
52   5   1814.64466667
52   6   1800.10533333
52   7   1781.02
52   8   1784.712
52   10   1836.82666667
52   11   1843.63866667
52   12   1845.98866667
52   14   1836.37066667
52   15   1817.888
52   16   1856.66266667
52   17   1883.47933333
52   19   1845.79333333
52   20   1862.40533333
52   21   1847.54266667
52   23   1840.078
52   24   1840.078
52   25   1840.078
52   26   1840.078
52   28   1840.078
52   29   1840.078
52   30   1840.078
52   32   1840.078
      
59   0   1810.04133333
59   1   1789.61533333
59   2   1820.64
59   3   1788.27266667
59   5   1761.25466667
59   6   1779.12733333
59   7   1770.65333333
59   8   1845.05733333
59   10   1904.59266667
59   11   1889.79133333
59   12   1874.286
59   14   1873.392
59   15   1866.89866667
59   16   1908.884
59   17   1913.40266667
59   19   1922.50066667
59   20   1907.592
59   21   1904.16533333
59   23   1798.454
59   24   1798.454
59   25   1798.454
59   26   1798.454
59   28   1798.454
59   29   1798.454
59   30   1798.454
59   32   1798.454
      
65   0   1848.10133333
65   1   1807.41133333
65   2   1833.25066667
65   3   1794.31333333
65   5   1803.82933333
65   6   1782.87133333
65   7   1805.15
65   8   1769.48866667
65   10   1917.28466667
65   11   1909.21733333
65   12   1920.21666667
65   14   1941.28666667
65   15   1948.46533333
65   16   1932.96266667
65   17   1921.08933333
65   19   1942.76466667
65   20   1938.938
65   21   1948.388
65   23   1761.51266667
65   24   1761.51266667
65   25   1761.51266667
65   26   1761.51266667
65   28   1761.51266667
65   29   1761.51266667
65   30   1761.51266667
65   32   1761.51266667
      
72   0   1692.33
72   1   1641.006
72   2   1708.94333333
72   3   1701.57
72   5   1760.68733333
72   6   1717.90733333
72   7   1701.122
72   8   1785.054
72   10   1814.32533333
72   11   1804.78266667
72   12   1818.15733333
72   14   1807.594
72   15   1797.40466667
72   16   1796.69666667
72   17   1786.74133333
72   19   1778.68533333
72   20   1825.716
72   21   1742.48066667
72   23   1832.16666667
72   24   1832.16666667
72   25   1832.16666667
72   26   1832.16666667
72   28   1832.16666667
72   29   1832.16666667
72   30   1832.16666667
72   32   1832.16666667
      
78   0   1811.47933333
78   1   1847.07333333
78   2   1813.78733333
78   3   1787.50466667
78   5   1856.00533333
78   6   1841.95466667
78   7   1845.84666667
78   8   1849.026
78   10   1857.88
78   11   1856.64933333
78   12   1825.13133333
78   14   1803.16133333
78   15   1811.98733333
78   16   1806.24733333
78   17   1804.45733333
78   19   1811.43733333
78   20   1813.00333333
78   21   1818.89333333
78   23   1832.16466667
78   24   1832.16466667
78   25   1832.16466667
78   26   1832.16466667
78   28   1832.16466667
78   29   1832.16466667
78   30   1832.16466667
78   32   1832.16466667
      
85   0   1802.32133333
85   1   1842.84933333
85   2   1820.54866667
85   3   1786.46466667
85   5   1876.26133333
85   6   1875.31466667
85   7   1864.59333333
85   8   1765.30733333
85   10   1816.314
85   11   1827.34
85   12   1819.51266667
85   14   1821.768
85   15   1818.14733333
85   16   1829.662
85   17   1830.734
85   19   1833.18666667
85   20   1830.82533333
85   21   1844.834
85   23   1779.588
85   24   1779.588
85   25   1779.588
85   26   1779.588
85   28   1779.588
85   29   1791.936
85   30   1791.936
85   32   1779.588
      
91   0   1812.98133333
91   1   1812.98133333
91   2   1832.93733333
91   3   1816.634
91   5   1794.42066667
91   6   1789.65533333
91   7   1808.392
91   8   1818.66666667
91   10   1837.794
91   11   1833.50333333
91   12   1811.76733333
91   14   1809.956
91   15   1833.92266667
91   16   1833.614
91   17   1835.91133333
91   19   1838.82866667
91   20   1819.76133333
91   21   1835.80333333
