c1   c2   ex
      
32   0   1321.1016
32   1   1315.58896667
32   2   1324.50626667
32   3   1339.9369
32   5   1336.7877
32   6   1348.3476
32   7   1346.60133333
32   8   1217.81366667
32   10   1283.25796667
32   11   1306.43186667
32   12   1311.63166667
32   14   1295.22786667
32   15   1300.16176667
32   16   1299.20393333
32   17   1316.7142
32   19   1320.18006667
32   20   1308.07816667
32   21   1311.36236667
32   23   1254.242
32   24   1254.242
32   25   1253.33353333
32   26   1253.54246667
32   28   1254.15236667
32   29   1254.15236667
32   30   1254.15236667
32   32   1254.15236667
      
39   0   1357.88973333
39   1   1370.17413333
39   2   1374.90933333
39   3   1357.5151
39   5   1372.88716667
39   6   1372.04766667
39   7   1359.6268
39   8   1269.81253333
39   10   1300.87393333
39   11   1280.96606667
39   12   1283.35933333
39   14   1298.8965
39   15   1294.58346667
39   16   1293.09713333
39   17   1292.93323333
39   19   1266.66643333
39   20   1279.53296667
39   21   1294.7065
39   23   1292.23896667
39   24   1292.23896667
39   25   1292.23896667
39   26   1292.23896667
39   28   1292.23896667
39   29   1292.098
39   30   1292.098
39   32   1292.098
      
45   0   1319.23093333
45   1   1311.2957
45   2   1310.54786667
45   3   1301.79723333
45   5   1319.70023333
45   6   1311.29853333
45   7   1305.94986667
45   8   1301.80223333
45   10   1325.91223333
45   11   1320.83963333
45   12   1329.99456667
45   14   1313.45286667
45   15   1304.86486667
45   16   1294.00346667
45   17   1297.03086667
45   19   1297.50736667
45   20   1295.0608
45   21   1294.96243333
45   23   1315.74073333
45   24   1315.74073333
45   25   1315.69393333
45   26   1315.69393333
45   28   1315.69393333
45   29   1315.69393333
45   30   1315.58393333
45   32   1315.58393333
      
52   0   1220.48416667
52   1   1229.0758
52   2   1226.5407
52   3   1272.54333333
52   5   1294.8104
52   6   1299.23243333
52   7   1293.91496667
52   8   1291.2934
52   10   1359.1221
52   11   1358.49463333
52   12   1355.92556667
52   14   1360.97466667
52   15   1357.3156
52   16   1349.94153333
52   17   1353.02423333
52   19   1353.77766667
52   20   1358.05083333
52   21   1357.59023333
52   23   1325.38753333
52   24   1325.38753333
52   25   1325.37906667
52   26   1325.37906667
52   28   1324.16293333
52   29   1325.4431
52   30   1325.4431
52   32   1323.28693333
      
59   0   1295.69646667
59   1   1285.68526667
59   2   1296.8264
59   3   1293.4999
59   5   1256.11983333
59   6   1254.92983333
59   7   1261.5334
59   8   1252.70593333
59   10   1393.4437
59   11   1367.11643333
59   12   1374.62536667
59   14   1375.77056667
59   15   1368.93183333
59   16   1375.55776667
59   17   1368.44946667
59   19   1371.36503333
59   20   1373.33763333
59   21   1387.65353333
59   23   1211.27053333
59   24   1211.27053333
59   25   1211.27053333
59   26   1211.27053333
59   28   1211.27053333
59   29   1211.27053333
59   30   1211.27053333
59   32   1211.27053333
      
65   0   1301.11313333
65   1   1276.64263333
65   2   1286.10843333
65   3   1273.41553333
65   5   1292.40846667
65   6   1275.51883333
65   7   1282.61146667
65   8   1255.37556667
65   10   1404.06993333
65   11   1375.06036667
65   12   1389.4882
65   14   1385.13666667
65   15   1382.3104
65   16   1371.31533333
65   17   1369.78146667
65   19   1371.0482
65   20   1376.25026667
65   21   1387.62433333
65   23   1230.6031
65   24   1230.58473333
65   25   1230.58473333
65   26   1230.58473333
65   28   1230.58473333
65   29   1230.58473333
65   30   1230.58473333
65   32   1230.58473333
      
72   0   1178.25166667
72   1   1165.1026
72   2   1251.0526
72   3   1252.16083333
72   5   1245.1457
72   6   1229.33253333
72   7   1254.4343
72   8   1252.76706667
72   10   1173.25643333
