c1   c2   ex
48   -9   1348.24813333
48   -8   1347.31293333
48   -7   1350.15153333
48   -6   1336.5231
48   -5   1347.20646667
48   -4   1329.34903333
48   -3   1341.2469
48   -2   1395.97186667
48   -1   1369.53943333
48   0   1367.4077
48   1   1341.2527
48   2   1369.0513
48   3   1286.59023333
48   4   1286.9015
48   5   1297.14346667
48   6   1294.03073333
48   7   1261.73713333
48   8   1310.81223333
48   9   1280.2707
48   10   1230.01046667
48   11   1208.37573333
      
49   -10   1352.31483333
49   -9   1351.62683333
49   -8   1350.61726667
49   -7   1359.14923333
49   -6   1364.36356667
49   -5   1355.2761
49   -4   1332.4897
49   -3   1374.03343333
49   -2   1379.42296667
49   -1   1333.92193333
49   0   1214.1054
49   1   1211.0036
49   2   1222.99886667
49   3   1287.1219
49   4   1302.5493
49   5   1297.5129
49   6   1294.09573333
49   7   1287.85803333
49   8   1305.0283
49   9   1306.6275
49   10   1324.5619
49   11   1352.6124
      
50   -10   1341.49596667
50   -9   1334.6194
50   -8   1330.587
50   -7   1286.77173333
50   -6   1288.14783333
50   -5   1287.385
50   -4   1289.77313333
50   -3   1254.4133
50   -2   1304.23013333
50   -1   1335.34626667
50   0   1227.94996667
50   1   1217.3873
50   2   1222.1999
50   3   1284.19356667
50   4   1295.90763333
50   5   1294.56643333
50   6   1296.93416667
50   7   1290.5724
50   8   1287.56546667
50   9   1289.2975
50   10   1362.29953333
50   11   1359.27276667
      
51   -10   1283.58666667
51   -9   1287.4018
51   -8   1280.76533333
51   -7   1288.2723
51   -6   1269.6885
51   -5   1275.00946667
51   -4   1278.99006667
51   -3   1259.6663
51   -2   1312.06486667
51   -1   1309.6397
51   0   1227.4547
51   1   1231.95996667
51   2   1234.5607
51   3   1272.48653333
51   4   1292.89066667
51   5   1289.89743333
51   6   1290.03183333
51   7   1288.1498
51   8   1297.09583333
51   9   1285.1136
51   10   1368.55323333
51   11   1357.90683333
      
52   -10   1286.37556667
52   -9   1282.28823333
52   -8   1297.48596667
52   -7   1287.74913333
52   -6   1279.21983333
52   -5   1292.4281
52   -4   1279.5675
52   -3   1262.782
52   -2   1309.43126667
52   -1   1224.97813333
52   0   1220.48416667
52   1   1229.0758
52   2   1226.5407
52   3   1272.54333333
52   4   1298.64516667
52   5   1294.8104
52   6   1299.23243333
52   7   1293.91496667
52   8   1291.2934
52   9   1290.7676
52   10   1359.1221
52   11   1358.49463333
      
53   -10   1275.51453333
53   -9   1282.7436
53   -8   1291.70853333
53   -7   1270.31543333
53   -6   1264.6738
53   -5   1275.02476667
53   -4   1270.87443333
53   -3   1266.91703333
53   -2   1324.187
53   -1   1215.09133333
53   0   1220.7341
53   1   1236.70176667
53   2   1248.77413333
53   3   1257.9428
53   4   1308.26406667
53   5   1314.4923
53   6   1292.2467
53   7   1295.9903
53   8   1281.72593333
53   9   1282.58423333
53   10   1350.9691
53   11   1354.15483333
      
54   -10   1266.17743333
54   -9   1277.92816667
54   -8   1290.30293333
54   -7   1282.90106667
54   -6   1278.80086667
54   -5   1285.42386667
54   -4   1274.23073333
54   -3   1266.3123
54   -2   1195.72866667
54   -1   1214.15416667
54   0   1225.35563333
54   1   1231.685
54   2   1225.35793333
54   3   1277.2799
54   4   1318.02013333
54   5   1307.1101
54   6   1296.1928
54   7   1295.49216667
54   8   1251.97516667
54   9   1366.38013333
54   10   1333.05806667
54   11   1327.64
      
55   -10   1278.88853333
55   -9   1278.21576667
55   -8   1283.8737
55   -7   1270.9601
55   -6   1267.3721
55   -5   1288.1217
55   -4   1270.00926667
55   -3   1262.42393333
55   -2   1220.7718
55   -1   1238.33653333
55   0   1226.66896667
55   1   1240.6151
55   2   1241.9422
55   3   1282.20786667
55   4   1311.2642
55   5   1304.55036667
55   6   1292.17573333
55   7   1287.89866667
55   8   1250.259
55   9   1370.4239
55   10   1360.3047
55   11   1349.18766667
      
56   -10   1302.45736667
56   -9   1238.53996667
56   -8   1228.36686667
56   -7   1281.61726667
56   -6   1269.56163333
56   -5   1261.18406667
56   -4   1279.20246667
56   -3   1270.20836667
56   -2   1294.77423333
56   -1   1305.82076667
56   0   1291.6866
56   1   1297.64496667
56   2   1313.63933333
56   3   1278.26633333
56   4   1281.00726667
56   5   1278.34623333
56   6   1273.67323333
56   7   1292.07496667
56   8   1226.9025
56   9   1362.09133333
56   10   1364.943
56   11   1355.00626667
