L	ropf	rcc	rsjc
0.9964	0.0341297	0.00442438	0.00440674
0.9967	0.03611	0.00456909	0.00458214
0.997	0.0385114	0.00475908	0.00480228
0.9973	0.0414741	0.00500857	0.00508188
0.9976	0.0452083	0.0053389	0.00544308
0.9979	0.0500445	0.00578362	0.00592059
0.9982	0.0565333	0.00639868	0.00657227
0.9985	0.0656661	0.00728486	0.00750226
0.9988	0.0794255	0.00864377	0.00891878
0.9991	0.102437	0.0109459	0.0113077
0.9994	0.148582	0.0156043	0.0161279
0.9997	0.28716	0.0295739	0.0305634
