L	opf	cc	jcc
0.245	0.0126563	0.0192982	0.0111877
0.246	0.0126363	0.0192792	0.011174
0.247	0.0126119	0.0192537	0.0111443
0.248	0.0125918	0.0192309	0.0111177
0.249	0.0125651	0.0192055	0.0110849
0.25	0.0125697	0.0192003	0.0110769
0.251	0.0125694	0.0191975	0.0110759
0.252	0.0125673	0.0191883	0.0110625
0.253	0.0125594	0.0191782	0.0110437
0.254	0.0125445	0.0191592	0.0110287
0.255	0.0125211	0.019131	0.0109897
0.256	0.0125038	0.0191139	0.0109721
0.257	0.01249	0.0190965	0.0109489
0.258	0.012486	0.0190828	0.0109322
0.259	0.0124573	0.0190567	0.0109057
0.26	0.0124503	0.0190424	0.0108865
0.261	0.0124365	0.0190247	0.0108699
0.262	0.0124103	0.018998	0.0108399
0.263	0.0124192	0.0190042	0.0108375
0.264	0.0123958	0.0189764	0.0108149
0.265	0.0123897	0.0189667	0.0107926
0.266	0.0123721	0.0189451	0.0107738
0.267	0.0123667	0.0189382	0.0107611
0.268	0.01236	0.0189263	0.0107414
0.269	0.0123425	0.0189023	0.0107259
0.27	0.0123419	0.0189003	0.0107097
0.271	0.0123241	0.0188773	0.0106942
0.272	0.0123057	0.0188551	0.0106653
0.273	0.012295	0.0188353	0.0106493
0.274	0.0122776	0.0188209	0.0106306
0.275	0.0122818	0.0188209	0.0106225
0.276	0.012246	0.0187785	0.0105813
0.277	0.0122477	0.018779	0.0105734
0.278	0.0122364	0.0187635	0.0105519
0.279	0.0122104	0.0187363	0.0105231
0.28	0.0121972	0.0187229	0.0105127
0.281	0.0121863	0.0187029	0.0104897
0.282	0.0121633	0.0186762	0.010466
0.283	0.0121614	0.018675	0.0104532
0.284	0.0121377	0.0186482	0.0104207
0.285	0.0121422	0.0186456	0.0104235
0.286	0.0121181	0.018619	0.0103889
0.287	0.0121089	0.0186055	0.0103752
0.288	0.0120987	0.018594	0.0103588
0.289	0.0120814	0.0185723	0.0103342
0.29	0.01208	0.0185628	0.0103279
0.291	0.0120621	0.0185447	0.0103008
0.292	0.0120397	0.018521	0.0102779
0.293	0.0120423	0.0185147	0.0102699
0.294	0.0120327	0.0184962	0.0102493
0.295	0.01201	0.0184793	0.0102229
0.296	0.0120068	0.0184614	0.0102139
0.297	0.0119827	0.0184352	0.0101821
0.298	0.011971	0.0184299	0.0101672
