name cap smp ex st se min max var cvar
89 82.126 1500 1401.72199333 281.739194895 7.27447473202 579.35 2061.0 1820.9 1893.03666667
90 82.46 1500 1398.68011333 280.34650294 7.23851558036 579.35 2061.0 1819.0 1890.2208
91 82.794 1500 1400.89118667 278.084103876 7.18010068771 579.35 2061.0 1819.37 1888.3432
92 83.128 1500 1401.11646667 275.960939892 7.12528082938 579.35 2061.0 1818.11 1887.9044
93 83.462 1500 1401.28422667 274.748280749 7.09397010492 579.35 2061.0 1818.11 1887.96106667
94 83.796 1500 1402.67192 275.446375981 7.11199484631 579.35 2064.33 1819.37 1889.76666667
95 84.13 1500 1403.23180667 275.49262391 7.11318896272 579.35 2064.33 1823.0 1889.85093333
96 84.464 1500 1402.40600667 275.591384614 7.11573895312 579.35 2064.33 1822.79 1890.316
97 84.798 1500 1401.75884 275.524615469 7.1140149812 579.35 2064.33 1822.46 1890.95266667
98 85.132 1500 1401.26964667 275.280432818 7.10771021227 579.35 2064.33 1820.69 1890.0376
99 85.466 1500 1401.97060667 275.5684527 7.11514685365 579.35 2064.33 1821.79 1890.076
100 85.8 1500 1402.32039333 275.750264405 7.11984121168 579.35 2064.33 1821.45 1890.076
101 86.134 1500 1402.28376667 275.544853032 7.11453751285 579.35 2064.33 1823.0 1889.26053333
102 86.468 1500 1402.59765333 276.590829235 7.14154450227 579.35 2064.33 1825.0 1889.63453333
103 86.802 1500 1402.61412667 276.407804802 7.13681883173 579.35 2064.33 1823.0 1889.5112
104 87.136 1500 1403.08887333 276.49304543 7.13901973527 579.35 2064.33 1825.0 1889.56013333
105 87.47 1500 1402.24753333 276.643248566 7.14289796359 579.35 2064.33 1820.69 1888.7844
106 87.804 1500 1402.73522 275.501234745 7.11341129352 579.35 2064.33 1819.45 1889.9564
107 88.138 1500 1394.92589333 276.964505911 7.15119279255 161.92 2097.0 1825.48 1893.2648
108 88.472 1500 1395.7123 277.030815465 7.15290489787 161.92 2097.0 1827.0 1894.70173333
109 88.806 1500 1395.69930667 276.552795357 7.14056247176 161.92 2097.0 1827.0 1894.70173333
110 89.14 1500 1395.58672667 276.401396083 7.13665335931 161.92 2097.0 1825.48 1893.2648
111 89.474 1500 1395.12576 275.614910504 7.11634638899 161.92 2097.0 1825.0 1890.2712
112 89.808 1500 1343.38270667 278.007356485 7.1781190786 479.62 2110.0 1776.0 1861.74066667
113 90.142 1500 1343.32294 277.959600042 7.17688601255 479.62 2110.0 1776.0 1861.74066667
114 90.476 1500 1343.1519 277.87250851 7.17463731885 479.62 2110.0 1776.0 1861.74066667
115 90.81 1500 1343.1519 277.87250851 7.17463731885 479.62 2110.0 1776.0 1861.74066667
116 91.144 1500 1343.09249333 277.84569453 7.17394498488 479.62 2110.0 1776.0 1861.74066667
117 91.478 1500 1343.04716 277.82788419 7.17348512386 479.62 2110.0 1776.0 1861.74066667
118 91.812 1500 1342.96472667 277.878215969 7.17478468482 479.62 2110.0 1776.0 1861.74066667
119 92.146 1500 1342.76496 277.755249298 7.17160969901 479.62 2110.0 1774.48 1861.356
120 92.48 1500 1342.64542667 277.69080917 7.16994586206 479.62 2110.0 1774.48 1861.356
