name smp ex sd se min max var cvar
154 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
155 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
156 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
157 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
158 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
159 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
160 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
161 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
162 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
163 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
164 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
165 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
166 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
167 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
168 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
169 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
170 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
171 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
172 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
173 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
174 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
175 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
176 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
177 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
178 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
179 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
180 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
181 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
182 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
183 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
184 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
185 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
