prob	ls
0.7328	273.12
0.7324	273.47
0.732	273.9
0.7316	274.03
0.7312	274.2
0.7308	274.41
0.7304	274.57
0.73	274.73
0.7296	274.86
0.7292	274.96
0.7288	275.12
0.7284	275.31
0.728	275.44
0.7276	275.54
0.7272	275.74
0.7268	275.91
0.7264	275.96
0.726	276.27
0.7256	276.45
0.7252	276.58
0.7248	276.69
0.7244	277.05
0.724	277.17
0.7236	277.28
0.7232	277.53
0.7228	277.68
0.7224	277.79
0.722	277.97
0.7216	278.04
0.7212	278.25
0.7208	278.61
0.7204	278.69
0.72	279.0
0.7196	279.08
0.7192	279.29
0.7188	279.46
0.7184	279.73
0.718	279.79
0.7176	280.05
0.7172	280.38
0.7168	280.57
0.7164	280.68
0.716	280.76
0.7156	280.95
0.7152	281.4
0.7148	281.56
0.7144	281.7
0.714	281.89
0.7136	281.99
0.7132	282.17
0.7128	282.32
0.7124	282.71
0.712	282.83
0.7116	283.07
0.7112	283.25
0.7108	283.38
0.7104	283.56
0.71	283.88
0.7096	284.23
0.7092	284.51
0.7088	284.6
0.7084	284.7
0.708	284.75
0.7076	284.82
0.7072	284.98
0.7068	285.32
0.7064	285.56
0.706	285.71
0.7056	285.9
0.7052	285.97
0.7048	286.12
0.7044	286.2
0.704	286.56
0.7036	286.73
0.7032	286.97
0.7028	287.13
0.7024	287.29
0.702	287.48
0.7016	287.66
0.7012	287.93
0.7008	288.0
0.7004	288.21
0.7	288.34
0.6996	288.48
0.6992	288.8
0.6988	289.02
0.6984	289.26
0.698	289.61
0.6976	289.78
0.6972	290.0
0.6968	290.06
0.6964	290.14
0.696	290.59
0.6956	290.75
0.6952	291.15
0.6948	291.28
0.6944	291.5
0.694	291.86
0.6936	292.06
0.6932	292.31
0.6928	292.48
0.6924	292.51
0.692	292.73
0.6916	292.88
0.6912	292.99
0.6908	293.32
0.6904	293.55
0.69	293.75
0.6896	293.92
0.6892	294.17
0.6888	294.39
0.6884	294.7
0.688	294.78
0.6876	294.81
0.6872	294.99
0.6868	295.32
0.6864	295.42
0.686	295.69
0.6856	296.01
0.6852	296.41
0.6848	296.56
0.6844	297.02
0.684	297.27
0.6836	297.53
0.6832	297.7
0.6828	297.94
0.6824	298.16
0.682	298.27
0.6816	298.42
0.6812	298.54
0.6808	298.74
0.6804	298.9
0.68	299.01
0.6796	299.14
0.6792	299.64
0.6788	299.8
0.6784	299.83
0.678	300.04
0.6776	300.21
0.6772	300.44
0.6768	300.58
0.6764	300.72
0.676	300.99
0.6756	301.27
0.6752	301.34
0.6748	301.36
0.6744	301.46
0.674	301.75
0.6736	301.86
0.6732	302.03
0.6728	302.28
0.6724	302.46
0.672	302.6
0.6716	302.84
0.6712	303.22
0.6708	303.41
0.6704	303.47
0.67	303.69
0.6696	303.83
0.6692	304.1
0.6688	304.19
0.6684	304.41
0.668	304.44
0.6676	304.66
0.6672	304.84
0.6668	304.91
0.6664	305.17
0.666	305.48
0.6656	305.65
0.6652	305.86
0.6648	306.02
0.6644	306.19
0.664	306.4
0.6636	306.65
0.6632	306.83
0.6628	306.96
0.6624	307.02
0.662	307.1
0.6616	307.48
0.6612	307.69
0.6608	307.82
0.6604	307.94
0.66	308.11
0.6596	308.24
0.6592	308.28
0.6588	308.49
0.6584	308.72
0.658	308.92
0.6576	309.0
0.6572	309.08
0.6568	309.24
0.6564	309.52
0.656	309.6
0.6556	309.79
0.6552	309.91
0.6548	310.05
0.6544	310.11
0.654	310.47
0.6536	310.65
0.6532	310.9
0.6528	310.99
0.6524	311.17
0.652	311.29
0.6516	311.57
0.6512	311.74
0.6508	312.1
0.6504	312.29
0.65	312.52
0.6496	312.66
0.6492	312.88
0.6488	313.15
0.6484	313.26
0.648	313.45
0.6476	313.74
0.6472	313.92
0.6468	314.21
0.6464	314.49
0.646	314.59
0.6456	314.7
0.6452	314.8
0.6448	314.92
0.6444	315.19
0.644	315.25
0.6436	315.52
0.6432	315.71
0.6428	315.92
0.6424	316.26
0.642	316.57
0.6416	316.79
0.6412	316.93
0.6408	317.18
0.6404	317.46
0.64	317.54
0.6396	317.63
0.6392	317.81
0.6388	318.01
0.6384	318.23
0.638	318.37
0.6376	318.56
0.6372	318.84
0.6368	319.16
0.6364	319.39
0.636	319.64
0.6356	319.89
0.6352	320.12
0.6348	320.34
0.6344	320.6
0.634	320.83
0.6336	320.92
0.6332	321.0
0.6328	321.24
0.6324	321.51
0.632	321.72
0.6316	321.8
0.6312	322.1
0.6308	322.45
0.6304	322.57
0.63	322.77
0.6296	322.93
0.6292	323.14
0.6288	323.19
0.6284	323.48
0.628	323.6
0.6276	323.76
0.6272	323.87
0.6268	324.08
0.6264	324.36
0.626	324.57
0.6256	324.91
0.6252	325.02
0.6248	325.29
0.6244	325.38
0.624	325.53
0.6236	325.76
0.6232	325.95
0.6228	326.03
0.6224	326.16
0.622	326.35
0.6216	326.59
0.6212	326.86
0.6208	327.05
0.6204	327.13
0.62	327.33
0.6196	327.51
0.6192	327.6
0.6188	327.81
0.6184	328.1
0.618	328.36
0.6176	328.41
0.6172	328.73
0.6168	328.86
0.6164	329.0
0.616	329.25
0.6156	329.37
0.6152	329.54
0.6148	329.76
0.6144	329.89
0.614	330.21
0.6136	330.39
0.6132	330.62
0.6128	330.65
0.6124	330.76
0.612	330.84
0.6116	331.05
0.6112	331.23
0.6108	331.61
0.6104	331.92
0.61	332.0
0.6096	332.36
0.6092	332.65
0.6088	332.89
0.6084	333.03
0.608	333.19
0.6076	333.25
0.6072	333.43
0.6068	333.62
0.6064	333.82
0.606	334.08
0.6056	334.3
0.6052	334.48
0.6048	334.58
0.6044	334.77
0.604	334.95
0.6036	335.13
0.6032	335.26
0.6028	335.34
0.6024	335.5
0.602	335.85
0.6016	335.92
0.6012	336.0
0.6008	336.0
0.6004	336.1
0.6	336.28
0.5996	336.5
0.5992	336.64
0.5988	336.93
0.5984	337.03
0.598	337.26
0.5976	337.38
0.5972	337.58
0.5968	337.63
0.5964	338.03
0.596	338.29
0.5956	338.36
0.5952	338.49
0.5948	338.7
0.5944	338.71
0.594	338.86
0.5936	339.02
0.5932	339.28
0.5928	339.35
0.5924	339.54
0.592	339.83
0.5916	340.05
0.5912	340.19
0.5908	340.47
0.5904	340.85
0.59	341.11
0.5896	341.26
0.5892	341.37
0.5888	341.6
0.5884	341.79
0.588	341.89
0.5876	342.12
0.5872	342.24
0.5868	342.49
0.5864	342.58
0.586	342.81
0.5856	343.21
0.5852	343.35
0.5848	343.68
0.5844	343.84
0.584	344.04
0.5836	344.3
0.5832	344.46
0.5828	344.9
0.5824	344.99
0.582	345.23
0.5816	345.44
0.5812	345.56
0.5808	345.74
0.5804	345.95
0.58	346.08
0.5796	346.42
0.5792	346.53
0.5788	346.75
0.5784	346.86
0.578	347.18
0.5776	347.32
0.5772	347.42
0.5768	347.63
0.5764	347.8
0.576	347.89
0.5756	348.07
0.5752	348.15
0.5748	348.28
0.5744	348.55
0.574	348.78
0.5736	348.88
0.5732	348.98
0.5728	349.08
0.5724	349.21
0.572	349.39
0.5716	349.59
0.5712	349.82
0.5708	350.0
0.5704	350.16
0.57	350.38
0.5696	350.51
0.5692	350.88
0.5688	351.04
0.5684	351.16
0.568	351.43
0.5676	351.72
0.5672	351.81
0.5668	352.2
0.5664	352.46
0.566	352.65
0.5656	352.93
0.5652	353.08
0.5648	353.21
0.5644	353.44
0.564	353.7
0.5636	353.96
0.5632	354.19
0.5628	354.33
0.5624	354.49
0.562	354.58
0.5616	354.77
0.5612	354.92
0.5608	355.1
0.5604	355.16
0.56	355.34
0.5596	355.58
0.5592	355.88
0.5588	356.37
0.5584	356.46
0.558	356.63
0.5576	356.79
0.5572	357.01
0.5568	357.34
0.5564	357.49
0.556	357.74
0.5556	357.88
0.5552	357.99
0.5548	358.1
0.5544	358.22
0.554	358.39
0.5536	358.6
0.5532	358.8
0.5528	359.0
0.5524	359.28
0.552	359.4
0.5516	359.56
0.5512	359.69
0.5508	359.83
0.5504	360.0
0.55	360.25
0.5496	360.35
0.5492	360.47
0.5488	360.62
0.5484	360.71
0.548	361.0
0.5476	361.24
0.5472	361.62
0.5468	361.9
0.5464	362.1
0.546	362.5
0.5456	362.57
0.5452	362.76
0.5448	362.95
0.5444	363.1
0.544	363.3
0.5436	363.46
0.5432	363.78
0.5428	363.84
0.5424	364.01
0.542	364.22
0.5416	364.48
0.5412	364.56
0.5408	364.78
0.5404	364.97
0.54	365.17
0.5396	365.49
0.5392	365.76
0.5388	365.93
0.5384	366.07
0.538	366.28
0.5376	366.41
0.5372	366.48
0.5368	366.74
0.5364	366.94
0.536	367.17
0.5356	367.29
0.5352	367.55
0.5348	367.87
0.5344	368.0
0.534	368.06
0.5336	368.27
0.5332	368.7
0.5328	368.83
0.5324	368.98
0.532	369.08
0.5316	369.26
0.5312	369.43
0.5308	369.71
0.5304	369.87
0.53	370.04
0.5296	370.17
0.5292	370.45
0.5288	370.54
0.5284	370.7
0.528	371.0
0.5276	371.11
0.5272	371.59
0.5268	371.96
0.5264	372.34
0.526	372.52
0.5256	372.84
0.5252	373.08
0.5248	373.32
0.5244	373.69
0.524	373.89
0.5236	374.12
0.5232	374.23
0.5228	374.48
0.5224	374.89
0.522	375.09
0.5216	375.28
0.5212	375.58
0.5208	375.71
0.5204	375.84
0.52	375.95
0.5196	376.0
0.5192	376.13
0.5188	376.3
0.5184	376.4
0.518	376.64
0.5176	376.79
0.5172	377.05
0.5168	377.13
0.5164	377.5
0.516	377.73
0.5156	377.81
0.5152	378.04
0.5148	378.24
0.5144	378.46
0.514	378.47
0.5136	378.6
0.5132	378.73
0.5128	378.99
0.5124	379.28
0.512	379.52
0.5116	379.84
0.5112	380.22
0.5108	380.51
0.5104	380.69
0.51	380.83
0.5096	381.08
0.5092	381.14
0.5088	381.43
0.5084	381.65
0.508	381.89
0.5076	382.07
0.5072	382.25
0.5068	382.5
0.5064	382.78
0.506	382.89
0.5056	383.07
0.5052	383.37
0.5048	383.64
0.5044	383.92
0.504	384.02
0.5036	384.39
0.5032	384.69
0.5028	384.77
0.5024	385.11
0.502	385.26
0.5016	385.55
0.5012	385.76
0.5008	385.99
0.5004	386.25
0.5	386.35
0.4996	386.48
0.4992	386.6
0.4988	386.79
0.4984	386.87
0.498	387.17
0.4976	387.26
0.4972	387.33
0.4968	387.78
0.4964	388.0
0.496	388.19
0.4956	388.31
0.4952	388.53
0.4948	388.83
0.4944	388.96
0.494	389.27
0.4936	389.34
0.4932	389.77
0.4928	389.89
0.4924	389.96
0.492	390.16
0.4916	390.33
0.4912	390.4
0.4908	390.63
0.4904	390.8
0.49	391.19
0.4896	391.47
0.4892	391.74
0.4888	392.0
0.4884	392.46
0.488	392.62
0.4876	392.75
0.4872	392.88
0.4868	393.01
0.4864	393.04
0.486	393.11
0.4856	393.23
0.4852	393.48
0.4848	393.65
0.4844	393.75
0.484	393.84
0.4836	394.04
0.4832	394.31
0.4828	394.48
0.4824	394.68
0.482	394.74
0.4816	394.85
0.4812	395.0
0.4808	395.09
0.4804	395.4
0.48	395.63
0.4796	395.92
0.4792	395.95
0.4788	396.11
0.4784	396.41
0.478	396.66
0.4776	396.84
0.4772	397.12
0.4768	397.34
0.4764	397.56
0.476	397.7
0.4756	398.02
0.4752	398.52
0.4748	398.59
0.4744	398.81
0.474	399.17
0.4736	399.49
0.4732	399.99
0.4728	400.28
0.4724	400.48
0.472	400.72
0.4716	400.86
0.4712	400.98
0.4708	401.18
0.4704	401.44
0.47	401.55
0.4696	401.66
0.4692	401.81
0.4688	402.0
0.4684	402.23
0.468	402.36
0.4676	402.53
0.4672	402.59
0.4668	402.72
0.4664	403.08
0.466	403.36
0.4656	403.47
0.4652	403.58
0.4648	403.75
0.4644	403.88
0.464	404.11
0.4636	404.21
0.4632	404.36
0.4628	404.48
0.4624	404.68
0.462	404.85
0.4616	405.5
0.4612	405.59
0.4608	405.96
0.4604	406.16
0.46	406.34
0.4596	406.51
0.4592	407.0
0.4588	407.15
0.4584	407.36
0.458	407.51
0.4576	407.76
0.4572	407.94
0.4568	408.23
0.4564	408.35
0.456	408.58
0.4556	409.0
0.4552	409.0
0.4548	409.21
0.4544	409.44
0.454	409.54
0.4536	409.73
0.4532	409.88
0.4528	409.94
0.4524	410.08
0.452	410.33
0.4516	410.53
0.4512	410.65
0.4508	410.8
0.4504	411.04
0.45	411.31
0.4496	411.44
0.4492	411.71
0.4488	411.72
0.4484	411.94
0.448	412.08
0.4476	412.32
0.4472	412.58
0.4468	412.75
0.4464	412.91
0.446	413.32
0.4456	413.36
0.4452	413.36
0.4448	413.5
0.4444	413.74
0.444	414.07
0.4436	414.33
0.4432	414.49
0.4428	414.76
0.4424	414.94
0.442	415.17
0.4416	415.36
