sp	sv	mp	mv
0.8671875	45.24		
0.869140625	45.24		
0.87109375	45.24		
0.873046875	45.24		
0.875	45.24		
0.876953125	45.24		
0.87890625	45.24		
0.880859375	45.24		
0.8828125	45.24		
0.884765625	45.24		
0.88671875	41.7		
0.888671875	41.7		
0.890625	41.7		
0.892578125	41.7		
0.89453125	41.7		
0.896484375	41.7		
0.8984375	41.7		
0.900390625	41.7		
0.90234375	41.7		
0.904296875	41.7		
0.90625	41.7		
0.908203125	41.7		
0.91015625	41.7		
0.912109375	41.7		
0.9140625	41.7		
0.916015625	41.7		
0.91796875	41.63		
0.919921875	41.63		
0.921875	41.63		
0.923828125	41.63		
0.92578125	41.63		
0.927734375	41.63		
0.9296875	41.63		
0.931640625	41.63		
0.93359375	41.63		
0.935546875	41.63		
0.9375	41.63		
0.939453125	22.19		
0.94140625	22.19		
0.943359375	22.19		
0.9453125	22.19		
0.947265625	22.19		
0.94921875	22.19		
0.951171875	22.19		
0.953125	22.19		
0.955078125	22.19		
0.95703125	22.19		
0.958984375	22.19		
0.9609375	22.19		
0.962890625	21		
0.96484375	21		
0.966796875	21		
0.96875	21		
0.970703125	21		
0.97265625	21		
0.974609375	21		
0.9765625	21		
0.978515625	21		
0.98046875	21		
0.982421875	21		
0.984375	21		
0.986328125	21		
0.98828125	21		
0.990234375	21		
0.9921875	21		
0.994140625	4.55		
0.99609375	4.55		
0.998046875	4.55		
1	4.55		
