name smp ex st se min max var cvar
139 1500 1338.45304667 256.042913317 6.61099959461 583.47 2018.11 1747.79 1823.00346667
140 1500 1406.54905333 277.706872808 7.17036062343 301.71 2098.0 1819.06 1868.7184
141 1500 1288.57258667 257.369942681 6.64526334546 151.5 1940.85 1699.41 1780.99533333
142 1500 1266.82164 264.70677419 6.83469952044 294.41 2014.0 1704.33 1802.51453333
143 1500 1369.18839333 282.146186734 7.28498321612 41.28 2078.38 1828.89 1900.29546667
144 1500 1370.14334 275.029258005 7.10122490649 237.36 2030.0 1784.43 1854.55466667
145 1500 1358.31491333 268.546063196 6.93382953633 263.85 2050.0 1770.06 1860.86426667
146 1500 1366.33556 259.164285486 6.69159307747 365.25 2040.0 1786.0 1868.80986667
147 1500 1341.35074 266.416681404 6.87884913487 175.08 2028.41 1757.71 1840.04413333
148 1500 1329.69525333 284.341471221 7.34166521783 457.56 2109.41 1784.69 1867.5204
149 1500 1369.1116 279.531848896 7.21748130339 59.76 2079.25 1795.0 1867.2372
150 1500 1336.67804 273.864049552 7.0711393536 445.21 2046.0 1760.0 1837.86
151 1500 1396.24044 269.598119131 6.96099350376 237.0 2122.0 1813.37 1893.9708
152 1500 1457.53428 261.508699832 6.75212559559 319.56 2113.0 1839.26 1924.87786667
153 1500 1396.84748667 245.111539827 6.32875274474 461.91 2034.0 1775.85 1856.54586667
154 1500 1358.08578 266.295720258 6.8757259315 48.04 1985.21 1774.0 1833.67666667
155 1500 1348.63338 259.590793965 6.70260547904 427.7 2128.41 1771.33 1849.87346667
156 1500 1443.6355 265.820506904 6.86345597545 92.99 2163.0 1857.36 1939.25906667
157 1500 1378.43802 268.746260127 6.93899859886 525.51 2121.0 1816.38 1899.8916
158 1500 1485.68257333 252.38966516 6.5166731328 414.77 2135.0 1860.85 1933.15693333
159 1500 1360.02822 270.363261587 6.98074939703 127.0 2120.33 1784.03 1863.73653333
160 1500 1336.67804 273.864049552 7.0711393536 445.21 2046.0 1760.0 1837.86
161 1500 1367.75427333 271.340737572 7.00598771844 448.5 2111.0 1801.69 1889.95946667
162 1500 1329.14741333 279.354741173 7.21290840165 148.05 2117.85 1769.37 1860.5768
163 1500 1372.82054667 266.143865286 6.87180505298 498.29 2120.0 1807.01 1880.03373333
164 1500 1319.14416667 259.646672396 6.70404825393 476.22 2064.58 1736.76 1813.90426667
165 1500 1343.64963333 272.699901778 7.04108118733 313.48 2048.0 1779.0 1846.10533333
166 1500 1326.36453333 256.978974214 6.63516858304 431.33 2097.33 1734.22 1831.84693333
167 1500 1384.72068 278.855129198 7.20000847593 597.39 2134.0 1845.63 1927.34613333
168 1500 1373.32071333 267.043895539 6.8950437342 504.76 2044.0 1782.0 1845.24773333
169 1500 1355.33252 288.857810524 7.45827659721 376.09 2111.69 1816.77 1894.74373333
170 1500 1344.55339333 283.913396765 7.3306123829 94.0 2064.0 1780.42 1855.1644
171 1500 1323.32618667 289.52349888 7.47546459667 473.82 2077.77 1781.6 1860.61853333
172 1500 1339.24552 273.338866599 7.05757918806 445.21 2046.0 1753.9 1834.17586667
173 1500 1365.27746 281.644001657 7.27201685318 0.0 2057.0 1795.37 1879.32693333
174 1500 1336.77537333 273.959379297 7.07360075703 445.21 2046.0 1760.0 1837.86
175 1500 1334.27137333 273.399014554 7.05913220158 464.71 2013.0 1771.29 1834.45706667
176 1500 1341.83020667 276.231359165 7.13226302498 79.67 1996.77 1764.61 1841.55693333
177 1500 1409.30784 265.559526212 6.85671748297 247.0 2151.0 1817.0 1886.34066667
178 1500 1417.78185333 263.661466717 6.80770979754 71.32 2140.0 1825.85 1892.90373333
179 1500 1336.25232 273.309314597 7.05681615866 445.21 2046.0 1757.51 1836.02493333
180 1500 1423.57816 266.380323337 6.8779103736 431.34 2145.0 1837.75 1925.1624
181 1500 1329.04006667 265.828267029 6.86365634104 185.13 2095.0 1739.0 1836.49186667
182 1500 1298.55921333 275.806483951 7.12129279411 320.66 2060.0 1739.0 1814.1912
183 1500 1358.66662 275.861645272 7.12271705331 496.57 2126.0 1781.0 1863.53573333
184 1500 1333.98153333 274.511342102 7.08785237537 445.21 2046.0 1759.0 1839.65866667
185 1500 1356.72346667 268.820370737 6.94091212658 355.0 2108.84 1781.39 1886.82253333
